Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Bushveld,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion; multispectral detected mafic zones,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE, Cr; Co-product: Ni, Cu","Sperrylite, braggite, cooperite, laurite, chromite","Ni, Cu, Cr, Au","Stratiform, laterally extensive",204 Moz PGE at 4-8 g/t 3PGE+Au,"Pyroxenite, norite, anorthosite",Craton interior,Rustenburg Layered Suite,Magmatic differentiation; sulfide segregation,Pt: 2-4 g/t; Pd: 1-3 g/t; Rh: 0.2-0.4 g/t; Au: 0.2-0.4 g/t,World's largest PGE resource; Merensky Reef and UG2 Chromitite,Platinum
Stillwater,USA,Neoarchean (2.7 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Braggite, cooperite, moncheite, vysotskite","Ni, Cu, Cr, Au","Stratiform, reef-like",41.5 Moz PGE at 17.0 g/t Pd+Pt,"Pyroxenite, norite, anorthosite",Wyoming Craton,Stillwater Complex,Magmatic differentiation; sulfide segregation,Pd: 13-16 g/t; Pt: 3-4 g/t; Rh: 0.1-0.2 g/t; Au: 0.2-0.4 g/t,JM Reef similar to Merensky Reef; Pd-dominant,Platinum
Great Dyke,Zimbabwe,Neoarchean (2.58 Ga),Magmatic,ASTER/Landsat mapped linear intrusion,Magnetic and gravity surveys outlined dyke geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Cooperite, braggite, sperrylite, hollingworthite","Ni, Cu, Cr, Au","Stratiform, linear",27 Moz PGE at 3.4 g/t 4PGE,"Pyroxenite, gabbro, norite",Zimbabwe Craton,Great Dyke Complex,Magmatic differentiation; sulfide segregation,Pt: 1.5-2.5 g/t; Pd: 1.2-2.0 g/t; Rh: 0.2-0.3 g/t; Au: 0.1-0.2 g/t,Linear dyke-like intrusion; Main Sulphide Zone,Platinum
Norilsk-Talnakh,Russia,Permian-Triassic (250 Ma),Magmatic,ASTER/Landsat mapped intrusions,Gravity and magnetic surveys mapped intrusions,Magmatic sulfide,"Main: Ni, Cu, PGE","Sperrylite, kotulskite, braggite, moncheite","Ni, Cu, Co, Au","Massive to disseminated, sheet-like",140 Moz PGE at 9.5 g/t PGE,"Basalt, gabbro-dolerite",Intraplate LIP,Siberian Traps,Magma conduit; sulfide segregation,Pd: 5-8 g/t; Pt: 1-3 g/t; Rh: 0.5-1.0 g/t; Au: 0.5-1.0 g/t,Flood basalt province; S-rich country rocks; Pd-dominated,Platinum
Lac des Iles,Canada,Neoarchean (2.69 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion geometry,Intrusion breccia,"Main: PGE; Co-product: Ni, Cu","Vysotskite, kotulskite, moncheite, merenskyite","Ni, Cu, Co, Au","Breccia zones, irregular",9.9 Moz PGE at 2.3 g/t Pd+Pt,"Gabbro, pyroxenite, breccia",Superior Province,North Lac des Iles Complex,Magmatic-hydrothermal; brecciation,Pd: 2.0-2.5 g/t; Pt: 0.2-0.3 g/t; Au: 0.15-0.25 g/t,Unusual Pd-dominant deposit; intrusion breccia style,Platinum
Platreef,South Africa,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped layered intrusion margin,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE, Ni, Cu","Sperrylite, cooperite, braggite, pentlandite","Ni, Cu, Co, Au",Thick zones along intrusion margin,57.5 Moz PGE+Au at 1.1 g/t 3PGE+Au,"Pyroxenite, norite, gabbro",Craton interior,Rustenburg Layered Suite,Magma-country rock interaction,Pt: 0.5-1.0 g/t; Pd: 0.5-1.0 g/t; Rh: 0.05-0.1 g/t; Au: 0.1-0.2 g/t,"Marginal zone of Bushveld; thick, lower-grade PGE mineralization",Platinum
Duluth,USA,Mesoproterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion geometry,Magmatic sulfide,"Main: Cu, Ni; By-product: PGE","Kotulskite, sperrylite, moncheite","Cu, Ni, Co, Au","Disseminated, sheet-like",5.8 Moz PGE at 0.3 g/t Pd+Pt,"Troctolite, gabbro",Midcontinent Rift,Duluth Complex,Magma-country rock interaction,Pd: 0.2-0.3 g/t; Pt: 0.05-0.1 g/t; Au: 0.05-0.1 g/t,"Low-grade, high-tonnage Cu-Ni deposit; PGE by-product",Platinum
Penikat,Finland,Paleoproterozoic (2.44 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Braggite, sperrylite, kotulskite","Ni, Cu, Cr, Au","Stratiform, reef-like",1.8 Moz PGE at 7.3 g/t PGE,"Pyroxenite, gabbro, anorthosite",Fennoscandian Shield,Penikat Layered Complex,Magmatic differentiation; sulfide segregation,Pt: 3-5 g/t; Pd: 2-4 g/t; Rh: 0.2-0.4 g/t; Au: 0.2-0.4 g/t,Multiple PGE reefs in layered intrusion,Platinum
Munni Munni,Australia,Archean (2.92 Ga),Magmatic,ASTER/Landsat mapped layered intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Sperrylite, stibiopalladinite, michenerite","Ni, Cu, Cr, Au","Stratiform, reef-like",2.4 Moz PGE at 2.9 g/t PGE+Au,"Pyroxenite, gabbro, anorthosite",Pilbara Craton,Munni Munni Complex,Magmatic differentiation; sulfide segregation,Pt: 1.4 g/t; Pd: 1.1 g/t; Rh: 0.1 g/t; Au: 0.3 g/t,PGE reef in layered intrusion,Platinum
Federov Tundra,Russia,Paleoproterozoic (2.5 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic and gravity surveys outlined intrusion geometry,Layered intrusion,"Main: PGE; Co-product: Ni, Cu","Kotulskite, moncheite, merenskyite","Ni, Cu, Co, Au","Stratiform, reef-like",4.3 Moz PGE at 1.2 g/t Pd+Pt,"Pyroxenite, gabbro",Kola Peninsula,Federov-Pansky Complex,Magmatic differentiation; sulfide segregation,Pd: 0.8-1.0 g/t; Pt: 0.3-0.4 g/t; Au: 0.1-0.2 g/t,Pd-dominated deposit in layered intrusion,Platinum
