Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Sudbury,Canada,Paleoproterozoic (1.85 Ga),Magmatic-impact,ASTER/Landsat mapped intrusion structure,Gravity surveys outlined basin; magnetic data mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd",Contact-type to offset dykes,"1.6 Gt at 1.2% Ni, 1.1% Cu","Norite, gabbro, granophyre",Impact structure,Sudbury Igneous Complex,Impact melt; sulfide segregation,Ni: 1.0-1.5%; Cu: 1.0-1.5%; Co: 0.04-0.06%,Meteorite impact origin; multiple ore types,Nickel
Norilsk-Talnakh,Russia,Permian-Triassic (250 Ma),Magmatic,ASTER/Landsat mapped intrusions,Gravity and magnetic surveys mapped intrusions,Magmatic sulfide,"Main: Ni, Cu, PGE; By-product: Co","Pentlandite, chalcopyrite, pyrrhotite, millerite","Cu, Co, Pt, Pd","Massive to disseminated, sheet-like","1.2 Gt at 1.8% Ni, 3.1% Cu","Basalt, gabbro-dolerite",Intraplate LIP,Siberian Traps,Magma conduit; sulfide segregation,Ni: 1.5-3.0%; Cu: 1.5-3.5%; PGE: 5-10 g/t,Flood basalt province; S-rich country rocks,Nickel
Jinchuan,China,Neoproterozoic (825 Ma),Magmatic,ASTER/Landsat mapped intrusion and gossans,Gravity and magnetic surveys mapped intrusion geometry,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd","Dyke-like, 6.5 km length","515 Mt at 1.06% Ni, 0.67% Cu",Ultramafic intrusion,Intraplate rift,Longshoushan Group,Magma conduit; sulfide segregation,Ni: 0.7-1.3%; Cu: 0.4-0.8%; Co: 0.02-0.03%,Magma conduit; multiple intrusive phases,Nickel
Voisey's Bay,Canada,Mesoproterozoic (1.34 Ga),Magmatic,ASTER/Landsat mapped gossans; thermal detected heat anomalies,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co","Pentlandite, pyrrhotite, chalcopyrite","Cu, Co, Pt, Pd","Massive to disseminated, dyke-like","141 Mt at 1.6% Ni, 0.8% Cu","Troctolite, gabbro",Intraplate rift,Nain Plutonic Suite,Magma mixing; sulfide segregation,Ni: 1.5-2.8%; Cu: 0.7-1.8%; Co: 0.09-0.15%,Magma conduit; contamination by country rocks,Nickel
Raglan,Canada,Paleoproterozoic (1.89 Ga),Magmatic,ASTER/Landsat mapped gossans,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Co, Pt, Pd",Multiple lenses along 55 km trend,"35 Mt at 2.15% Ni, 0.7% Cu",Komatiite,Cape Smith Belt,Raglan Formation,Flow dynamics; thermal erosion,Ni: 1.5-3.0%; Cu: 0.5-1.0%; Co: 0.05-0.07%,Komatiite-hosted; multiple flow channels,Nickel
Thompson,Canada,Paleoproterozoic (1.88 Ga),Magmatic,ASTER/Landsat mapped gossans and belt,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Co, Cu","Pentlandite, pyrrhotite, millerite","Cu, Co, Pt, Pd","Massive to disseminated, multiple lenses",150 Mt at 2.3% Ni,"Metavolcanics, metasediments",Thompson Nickel Belt,Ospwagan Group,Magma-sulfide interaction,Ni: 1.5-3.0%; Cu: 0.1-0.2%; Co: 0.04-0.06%,Metamorphosed ultramafic complex,Nickel
Kambalda,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Co, Cu","Pentlandite, pyrrhotite, chalcopyrite","Cu, Co, Pt, Pd",Multiple lenses at basal contact,35 Mt at 3.1% Ni,Komatiite,Yilgarn Craton,Kambalda Sequence,Flow dynamics; thermal erosion,Ni: 2.0-4.0%; Cu: 0.2-0.3%; Co: 0.04-0.06%,Komatiite-hosted; multiple flow channels,Nickel
Mount Keith,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic unit,Magnetic surveys mapped intrusion; gravity defined geometry,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, pyrrhotite, violarite","Cu, Co, Pt, Pd","Disseminated, sill-like",465 Mt at 0.52% Ni,Komatiite,Yilgarn Craton,Mount Keith Ultramafic Complex,Olivine cumulate zone,Ni: 0.5-0.6%; Cu: <0.1%; Co: 0.01-0.02%,"Low-grade, high-tonnage; disseminated sulfides",Nickel
Murrin Murrin,Australia,"Archean-Proterozoic (2.7 Ga rocks, Tertiary weathering)",Lateritic,ASTER/Landsat mapped laterite caps,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 1-50 m thick","300 Mt at 1.0% Ni, 0.08% Co",Weathered ultramafics,Yilgarn Craton,Laterite profile over greenstone belt,Intense weathering; water table,Ni: 0.8-1.2%; Co: 0.07-0.1%,Lateritic profile over ultramafics; tropical weathering,Nickel
Goro,New Caledonia,"Tertiary-Recent (23 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Serpentine, goethite, asbolane, lithiophorite","Co, Mn, Fe, Cr","Blanket-like, 20-30 m thick","124 Mt at 1.46% Ni, 0.11% Co",Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Ni: 1.2-2.5%; Co: 0.1-0.15%,Tropical weathering of obducted ophiolite,Nickel
